"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "PostCSS", "Dotenv", "comment", "blank", "total"
"d:\Desktop\modrn\README.md", "Markdown", 0, 30, 0, 0, 0, 0, 0, 8, 38
"d:\Desktop\modrn\backend\.env", "Dotenv", 0, 0, 0, 0, 0, 8, 0, 2, 10
"d:\Desktop\modrn\backend\db.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 3, 23
"d:\Desktop\modrn\backend\package-lock.json", "JSON", 1157, 0, 0, 0, 0, 0, 0, 1, 1158
"d:\Desktop\modrn\backend\package.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 22
"d:\Desktop\modrn\backend\server.js", "JavaScript", 0, 0, 0, 191, 0, 0, 17, 61, 269
"d:\Desktop\modrn\docs\admin.html", "HTML", 0, 0, 157, 0, 0, 0, 8, 20, 185
"d:\Desktop\modrn\docs\index.html", "HTML", 0, 0, 267, 0, 0, 0, 14, 37, 318
"d:\Desktop\modrn\docs\js\admin.js", "JavaScript", 0, 0, 0, 190, 0, 0, 16, 35, 241
"d:\Desktop\modrn\docs\js\index.js", "JavaScript", 0, 0, 0, 116, 0, 0, 29, 38, 183
"d:\Desktop\modrn\docs\js\shop.js", "JavaScript", 0, 0, 0, 270, 0, 0, 30, 78, 378
"d:\Desktop\modrn\docs\shop.html", "HTML", 0, 0, 105, 0, 0, 0, 9, 14, 128
"d:\Desktop\modrn\docs\style.css", "PostCSS", 0, 0, 0, 0, 1969, 0, 89, 289, 2347
"d:\Desktop\modrn\frontend\admin.html", "HTML", 0, 0, 157, 0, 0, 0, 8, 20, 185
"d:\Desktop\modrn\frontend\index.html", "HTML", 0, 0, 267, 0, 0, 0, 14, 37, 318
"d:\Desktop\modrn\frontend\js\admin.js", "JavaScript", 0, 0, 0, 190, 0, 0, 16, 35, 241
"d:\Desktop\modrn\frontend\js\index.js", "JavaScript", 0, 0, 0, 116, 0, 0, 29, 38, 183
"d:\Desktop\modrn\frontend\js\shop.js", "JavaScript", 0, 0, 0, 270, 0, 0, 30, 78, 378
"d:\Desktop\modrn\frontend\shop.html", "HTML", 0, 0, 105, 0, 0, 0, 9, 14, 128
"d:\Desktop\modrn\frontend\style.css", "PostCSS", 0, 0, 0, 0, 1969, 0, 89, 289, 2347
"d:\Desktop\modrn\package-lock.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 1, 7
"Total", "-", 1185, 30, 1058, 1363, 3938, 8, 407, 1098, 9087